el nombre de un actor o actriz de Hollywood.
Tom Cruise
Mila Kunis
Will Smith
Hugh Grant
Emma Stone
Liz Hurley
Jonah Hill
Clive Owen
Guy Pearce
Vin Diesel
Johnny Depp
Emma Watson
Liam Neeson
Naomi Watts
Salma Hayek
Ben Affleck
Halle Berry
Bill Murray
John Cleese
Uma Thurman
Cameron Diaz
Kate Winslet
Daniel Craig
James Mcavoy
Jessica Biel
Heath Ledger
Sean Connery
Helen Mirren
Jessica Alba
Sharon Stone
Hilary Swank
Hugh Jackman
James Franco
Keanu Reeves
Meryl Streep
Diane Kruger
Emile Hirsch
Danny Devito
Rupert Grint
Kim Basinger
Rachel Weisz
George Takei
Elle Fanning
Jodie Foster
Tamer Hassan
John Corbett
Nicole Kidman
Charlie Sheen
Penelope Cruz
Colin Farrell
Anne Hathaway
Orlando Bloom
Gerard Butler
Jason Bateman
John Travolta
Kirsten Dunst
Julie Andrews
Lindsay Lohan
Michael Caine
Jason Statham
Charles Dance
Angelina Jolie
Cate Blanchett
Drew Barrymore
Taylor Lautner
Bradley Cooper
Julianne Moore
Channing Tatum
Ashton Kutcher
Carey Mulligan
Clint Eastwood
Juliette Lewis
Rupert Everett
Gemma Arterton
Robert Redford
Robert De Niro
